date,minimum,median,maximum
20170101,-8.34,-6.4,0.24
20170102,-6.68,-5.38,2.03
20170103,-5.5,-3.78,0.71
20170104,-4.85,3.13,5.68
20170105,-11.05,-7.35,5.21
20170106,-14.72,-11.79,-5.89
20170107,-14.43,-12.23,-5.36
20170108,-8.98,-6.21,7.73
20170109,0.17,8.88,11.47
20170110,1.53,3.94,7.41
20170111,0.55,5.46,7.26
20170112,-0.91,0.43,5.32
20170113,-2.16,-0.83,3.43
20170114,-2.02,-0.79,1.98
20170115,-4.51,-2.23,-0.14
20170116,-5.53,-3.26,-0.76
20170117,-8.02,-5.88,1.58
20170118,-7.43,-5.0,1.91
20170119,-5.53,-0.26,1.73
20170120,-2.09,-0.81,5.84
20170121,-1.44,0.42,3.86
20170122,-3.15,-0.04,6.64
20170123,-0.48,2.72,5.11
20170124,-3.19,-1.71,1.47
20170125,-5.12,-3.37,0.42
20170126,-5.36,-4.38,1.15
20170127,-8.46,-4.87,-0.91
20170128,-9.71,-7.79,0.17
20170129,-9.23,-6.86,1.07
20170130,-9.23,-7.13,1.06
20170131,-7.99,-6.78,1.52
20170201,-4.91,-2.36,4.13
20170202,-2.59,-1.04,5.83
20170203,-0.19,3.67,11.12
20170204,6.14,7.87,14.14
20170205,5.41,7.92,12.83
20170206,7.07,9.2,11.17
20170207,6.55,8.09,11.88
20170208,5.97,10.02,15.55
20170209,11.2,13.18,18.67
20170210,6.05,15.3,17.84
20170211,-0.06,4.33,6.91
20170212,-1.9,1.59,6.26
20170213,-3.06,-0.17,5.89
20170214,-2.63,0.09,7.77
20170215,-0.88,2.16,12.81
20170216,1.48,4.67,15.81
20170217,3.62,9.8,13.75
20170218,5.54,8.2,12.54
20170219,6.01,8.54,13.91
20170220,5.11,7.31,13.37
20170221,10.12,11.09,16.64
20170222,0.17,1.48,14.83
20170223,-3.43,-2.11,2.07
20170224,-5.33,-3.52,0.06
20170225,-6.48,-4.95,3.27
20170226,-7.17,-3.99,4.66
20170227,-2.76,1.17,4.03
20170228,-5.74,-2.37,3.36
20170301,-2.96,-1.7,6.42
20170302,-2.89,0.67,11.82
20170303,-0.15,4.48,15.38
20170304,7.45,9.64,15.33
20170305,9.76,11.85,15.35
20170306,-4.92,-3.07,13.28
20170307,-1.63,-0.34,8.27
20170308,4.93,6.73,15.68
20170309,5.99,10.32,18.04
20170310,8.94,12.32,18.42
20170311,5.06,10.28,16.69
20170312,8.06,11.03,14.6
20170313,6.87,9.27,19.31
20170314,9.95,14.27,24.05
20170315,10.75,16.18,23.78
20170316,13.47,17.52,23.91
20170317,8.86,15.05,24.42
20170318,12.49,17.63,25.32
20170319,10.81,19.34,24.44
20170320,11.84,14.75,22.52
20170321,15.0,18.18,22.17
20170322,10.45,14.37,21.38
20170323,0.76,3.71,13.12
20170324,2.55,4.57,15.59
20170325,3.21,8.46,13.08
20170326,1.59,4.41,13.52
20170327,3.95,7.79,10.75
20170328,1.87,5.37,10.51
20170329,2.62,7.26,14.14
20170330,7.28,10.05,16.13
20170331,4.08,7.12,12.59
20170401,7.57,10.02,16.77
20170402,5.62,8.38,13.36
20170403,2.44,7.25,12.55
20170404,-0.4,4.15,8.72
20170405,0.54,3.75,16.91
20170406,7.08,11.0,23.89
20170407,16.88,17.77,21.28
20170408,3.45,10.39,19.56
20170409,-0.92,0.62,7.31
20170410,0.53,3.66,15.5
20170411,4.93,9.78,17.97
20170412,8.94,13.66,22.69
20170413,14.85,18.96,25.11
20170414,5.26,7.51,23.75
20170415,1.44,7.6,13.11
20170416,5.88,8.68,21.44
20170417,14.18,16.95,21.26
20170418,11.48,13.91,17.47
20170419,4.39,6.48,16.0
20170420,5.07,10.35,15.6
20170421,2.8,4.84,11.48
20170422,4.74,8.25,18.45
20170423,9.21,12.78,19.09
20170424,6.3,10.38,14.87
20170425,2.41,5.04,11.3
20170426,5.48,7.16,13.74
20170427,3.97,6.27,9.13
20170428,0.34,2.4,7.88
20170429,2.44,4.39,12.23
20170430,4.19,8.08,16.2
20170501,8.78,12.6,16.42
20170502,8.89,11.98,17.13
20170503,7.42,13.42,19.21
20170504,10.28,15.18,24.64
20170505,13.19,19.16,30.09
20170506,16.73,23.39,29.71
20170507,15.25,18.79,24.38
20170508,12.23,15.92,22.12
20170509,12.4,16.41,21.7
20170510,12.58,17.34,22.06
20170511,13.06,18.88,28.75
20170512,16.3,22.11,28.32
20170513,5.94,9.79,27.85
20170514,5.21,10.08,20.82
20170515,10.13,15.34,19.34
20170516,9.1,11.8,17.0
20170517,0.13,5.71,16.79
20170518,0.31,2.34,8.78
20170519,5.04,6.92,14.13
20170520,5.42,12.21,20.07
20170521,9.33,14.27,20.7
20170522,10.24,15.33,22.42
20170523,12.78,18.75,26.24
20170524,15.32,21.79,28.62
20170525,12.04,16.48,25.23
20170526,11.94,14.82,19.44
20170527,7.14,12.76,19.39
20170528,12.49,17.2,24.97
20170529,13.86,19.07,26.95
20170530,16.58,21.84,30.76
20170531,17.04,24.5,31.8
20170601,18.66,23.86,30.1
20170602,14.69,18.64,25.45
20170603,16.53,20.14,33.22
20170604,20.97,26.61,33.63
20170605,17.3,25.71,32.78
20170606,17.08,23.85,33.21
20170607,22.88,27.7,34.0
20170608,21.0,27.52,33.67
20170609,14.77,24.93,31.94
20170610,12.67,18.53,30.14
20170611,13.75,20.59,29.62
20170612,9.04,19.31,29.12
20170613,7.37,10.63,19.86
20170614,12.13,17.34,24.76
20170615,14.97,20.25,29.1
20170616,19.02,24.83,32.28
20170617,17.36,22.76,31.87
20170618,15.3,21.54,28.32
20170619,18.8,24.12,33.24
20170620,22.96,27.59,37.22
20170621,20.94,27.27,36.11
20170622,18.18,25.31,34.23
20170623,14.49,22.28,28.71
20170624,17.79,22.22,30.92
20170625,19.87,23.78,34.24
20170626,21.64,26.61,36.62
20170627,21.92,28.12,37.59
20170628,19.16,24.98,30.59
20170629,17.18,23.69,29.22
20170630,16.99,22.04,28.71
20170701,17.38,22.55,34.59
20170702,21.43,27.58,36.39
20170703,22.83,28.69,36.23
20170704,22.12,29.07,39.18
20170705,23.67,31.05,39.06
20170706,23.04,30.59,38.01
20170707,23.23,30.13,38.57
20170708,24.86,30.39,39.49
20170709,22.39,27.94,37.17
20170710,24.25,27.62,36.62
20170711,23.4,27.43,36.02
20170712,21.33,26.39,34.35
20170713,21.37,27.81,36.64
20170714,21.47,28.06,35.37
20170715,22.82,28.13,36.57
20170716,23.54,30.97,35.67
20170717,22.78,28.75,36.82
20170718,21.52,26.46,38.45
20170719,26.13,29.44,37.51
20170720,22.94,26.34,33.15
20170721,22.93,28.34,33.5
20170722,22.56,28.12,35.61
20170723,22.14,29.26,35.2
20170724,22.44,28.09,36.7
20170725,17.98,24.32,33.82
20170726,16.56,23.45,31.44
20170727,18.38,24.9,32.74
20170728,20.26,25.45,32.29
20170729,21.21,25.46,33.3
20170730,21.11,26.71,32.65
20170731,22.62,28.09,33.99
20170801,25.29,28.89,36.11
20170802,22.03,29.27,35.81
20170803,23.84,29.05,35.57
20170804,23.35,28.9,35.37
20170805,21.86,27.55,33.41
20170806,21.71,26.9,32.22
20170807,18.93,23.09,30.93
20170808,18.28,23.58,30.98
20170809,18.98,24.06,30.68
20170810,18.77,23.1,30.71
20170811,19.84,24.89,35.14
20170812,22.41,27.69,34.53
20170813,20.5,25.87,33.35
20170814,19.48,24.94,33.1
20170815,15.28,19.55,26.42
20170816,16.01,20.45,30.76
20170817,18.63,24.42,31.28
20170818,18.3,25.22,31.28
20170819,19.45,25.99,34.0
20170820,21.22,30.53,35.64
20170821,19.23,26.52,33.2
20170822,20.56,25.41,31.11
20170823,18.92,23.77,30.52
20170824,18.9,25.44,32.62
20170825,18.73,24.94,34.19
20170826,20.82,27.8,35.5
20170827,20.72,27.78,34.19
20170828,21.22,28.18,33.99
20170829,21.61,27.92,35.26
20170830,21.56,28.08,33.9
20170831,19.3,22.93,30.14
20170901,17.65,22.82,30.84
20170902,18.34,24.79,33.25
20170903,21.69,26.65,34.82
20170904,20.8,27.75,33.74
20170905,23.23,27.87,34.24
20170906,20.73,27.29,33.5
20170907,19.23,25.68,33.73
20170908,19.23,25.04,31.1
20170909,18.31,22.12,28.26
20170910,16.36,21.78,28.62
20170911,19.1,23.23,31.45
20170912,18.56,25.34,31.5
20170913,18.25,23.3,31.39
20170914,17.84,20.81,30.27
20170915,10.29,14.64,18.56
20170916,8.48,13.08,19.75
20170917,9.56,12.95,25.6
20170918,15.99,18.84,26.14
20170919,7.33,14.4,24.56
20170920,8.36,12.46,23.66
20170921,7.49,11.81,23.23
20170922,1.24,5.24,12.22
20170923,3.63,6.92,10.36
20170924,3.54,5.37,8.03
20170925,4.33,6.44,15.72
20170926,6.57,9.55,17.57
20170927,10.61,12.95,19.84
20170928,12.59,14.06,21.85
20170929,11.11,15.43,24.09
20170930,12.63,15.61,23.15
20171001,7.02,10.56,17.14
20171002,2.28,6.47,13.71
20171003,1.32,5.73,16.99
20171004,10.97,13.9,16.68
20171005,5.05,9.87,16.52
20171006,6.74,10.18,15.64
20171007,7.74,11.61,23.61
20171008,5.16,9.39,22.72
20171009,2.82,6.33,11.47
20171010,3.13,6.79,19.53
20171011,8.62,12.29,21.77
20171012,5.77,10.61,19.27
20171013,3.72,7.43,17.5
20171014,1.41,5.78,16.03
20171015,0.88,3.96,14.22
20171016,3.54,7.22,18.68
20171017,6.31,11.14,22.93
20171018,8.51,12.02,21.96
20171019,10.07,14.53,24.86
20171020,3.99,17.52,21.0
20171021,2.86,5.84,11.99
20171022,6.54,8.72,20.31
20171023,8.32,14.1,19.1
20171024,5.67,10.7,16.25
20171025,6.11,10.06,20.96
20171026,7.37,11.98,17.16
20171027,5.17,10.23,15.13
20171028,5.58,9.77,17.57
20171029,6.69,11.41,22.01
20171030,7.24,11.78,20.37
20171031,2.7,8.59,12.67
20171101,6.8,8.39,19.65
20171102,10.69,15.16,19.45
20171103,12.58,14.3,17.81
20171104,9.62,11.45,14.39
20171105,5.02,6.52,11.95
20171106,3.7,5.92,9.01
20171107,-0.58,2.08,6.93
20171108,-2.41,0.33,9.41
20171109,1.28,4.75,16.87
20171110,4.42,7.67,11.72
20171111,2.78,6.79,12.85
20171112,1.87,6.39,13.85
20171113,4.55,8.01,17.02
20171114,6.09,9.42,12.79
20171115,3.45,6.72,17.49
20171116,9.08,14.95,16.13
20171117,0.42,6.66,16.15
20171118,-2.24,0.52,7.41
20171119,-1.66,0.59,11.04
20171120,0.94,3.1,7.25
20171121,5.73,8.45,17.68
20171122,8.14,11.66,19.58
20171123,8.36,12.45,18.82
20171124,9.03,14.38,16.4
20171125,6.62,9.32,16.88
20171126,7.29,10.05,19.16
20171127,3.69,17.31,19.19
20171128,-0.23,3.72,9.44
20171129,0.14,2.88,8.79
20171130,0.11,2.67,9.45
20171201,1.45,2.64,10.49
20171202,1.28,4.78,11.32
20171203,0.37,11.17,15.14
20171204,-3.23,-1.52,1.34
20171205,-5.62,-3.21,2.39
20171206,-6.16,-2.71,1.53
20171207,-5.21,-3.23,3.24
20171208,-4.57,-2.13,4.47
20171209,-5.14,-1.45,5.58
20171210,-4.69,-1.83,4.77
20171211,-6.98,-2.74,1.27
20171212,-6.57,-4.54,0.95
20171213,-6.88,-5.06,-1.83
20171214,-3.89,-2.71,5.01
20171215,-3.06,-0.11,6.49
20171216,-1.49,-0.31,2.46
20171217,-2.78,-1.76,2.64
20171218,-3.6,-2.19,6.65
20171219,-1.78,0.49,11.98
20171220,-2.14,9.02,10.66
20171221,-4.52,-2.71,2.18
20171222,-6.71,-4.3,1.77
20171223,-0.14,1.39,3.37
20171224,-5.74,-2.97,1.55
20171225,-3.02,-0.79,6.92
20171226,-1.51,2.54,6.06
20171227,-1.25,1.17,8.58
20171228,-0.84,3.08,10.96
20171229,2.84,5.28,15.39
20171230,5.47,10.6,14.05
20171231,-2.58,2.28,7.34
